the_geom,cartodb_id,ratio,sum,people_total_f,people_total_m,people_total,village,site_id
,244,0.22429435483871,445.00,2000,1984,"3,984.00",福樂里,三重區
,245,0.276351970669111,603.00,2288,2182,"4,470.00",仁華里,三重區
,246,0.214868105515588,448.00,2076,2085,"4,161.00",五順里,三重區
,247,0.329674350530553,901.00,2805,2733,"5,538.00",中原里,中和區
,248,0.301464254952627,"1,400.00",4973,4644,"9,617.00",平河里,中和區
,249,0.252723311546841,580.00,2240,2295,"4,535.00",信和里,中和區
,250,0.282715497990174,633.00,2251,2239,"4,490.00",仁和里,中和區
,251,0.246197718631179,518.00,2204,2104,"4,308.00",中正里,中和區
,252,0.321218599679316,601.00,1920,1871,"3,791.00",建和里,中和區
,253,0.419469026548673,474.00,1358,1130,"2,488.00",連和里,中和區
,630,0.114877589453861,61.00,455,531,986.00,五寮里,三峽區
,254,0.343390357698289,"1,104.00",3496,3215,"6,711.00",連城里,中和區
,255,0.363163032866905,"1,116.00",3347,3073,"6,420.00",力行里,中和區
,256,0.338405036726128,645.00,1926,1906,"3,832.00",枋寮里,中和區
,257,0.332422088572991,608.00,1929,1829,"3,758.00",漳和里,中和區
,258,0.313664596273292,707.00,2350,2254,"4,604.00",廟美里,中和區
,259,0.267865593942262,566.00,2188,2113,"4,301.00",福真里,中和區
,260,0.299902629016553,616.00,2281,2054,"4,335.00",福善里,中和區
,261,0.279527559055118,639.00,2358,2286,"4,644.00",福美里,中和區
,262,0.266768292682927,700.00,2722,2624,"5,346.00",福祥里,中和區
,263,0.312905551550108,868.00,2936,2774,"5,710.00",瓦󿾨里,中和區
,264,0.31190727081138,592.00,1930,1898,"3,828.00",福和里,中和區
,265,0.348593028139437,830.00,2569,2381,"4,950.00",佳和里,中和區
,266,0.479515291402193,831.00,1956,1733,"3,689.00",安樂里,中和區
,267,0.398688524590164,608.00,1680,1525,"3,205.00",安和里,中和區
,268,0.492173913043478,"1,415.00",3157,2875,"6,032.00",安平里,中和區
,269,0.519193857965451,"1,082.00",2363,2084,"4,447.00",中安里,中和區
,270,0.327953890489914,569.00,1926,1735,"3,661.00",泰安里,中和區
,271,0.408024224072672,"1,617.00",4524,3963,"8,487.00",新南里,中和區
,272,0.374953271028037,"1,003.00",2801,2675,"5,476.00",南山里,中和區
,273,0.343833185448092,775.00,2435,2254,"4,689.00",秀山里,中和區
,274,0.375210319685923,669.00,1857,1783,"3,640.00",秀成里,中和區
,275,0.401521555367709,950.00,2533,2366,"4,899.00",秀福里,中和區
,276,0.369321717485999,"1,187.00",3307,3214,"6,521.00",秀景里,中和區
,277,0.401420217209691,961.00,2763,2394,"5,157.00",秀明里,中和區
,278,0.351699279093718,683.00,2242,1942,"4,184.00",秀峰里,中和區
,279,0.34969696969697,577.00,1710,1650,"3,360.00",秀仁里,中和區
,280,0.343447385409942,532.00,1631,1549,"3,180.00",頂南里,中和區
,281,0.298884960565679,"1,099.00",3940,3677,"7,617.00",華新里,中和區
,282,0.370833333333333,801.00,2249,2160,"4,409.00",東南里,中和區
,283,0.353464963221061,913.00,2663,2583,"5,246.00",華南里,中和區
,284,0.296832225263981,759.00,2584,2557,"5,141.00",忠孝里,中和區
,285,0.383818450912679,778.00,2166,2027,"4,193.00",崇南里,中和區
,286,0.310819262038774,497.00,1741,1599,"3,340.00",景南里,中和區
,287,0.129533678756477,25.00,173,193,366.00,橫路里,中和區
,288,0.289599411980889,788.00,2634,2721,"5,355.00",內南里,中和區
,289,0.295508274231678,375.00,1232,1269,"2,501.00",壽南里,中和區
,290,0.199088510434157,830.00,3283,4169,"7,452.00",外南里,中和區
,291,0.309607156748347,796.00,2863,2571,"5,434.00",復興里,中和區
,292,0.332426303854875,733.00,2389,2205,"4,594.00",和興里,中和區
,293,0.387144992526158,"1,036.00",2975,2676,"5,651.00",景平里,中和區
,294,0.308510638297872,551.00,1945,1786,"3,731.00",景新里,中和區
,295,0.369190404797601,985.00,2996,2668,"5,664.00",景福里,中和區
,296,0.371262458471761,894.00,2499,2408,"4,907.00",景安里,中和區
,297,0.366687004270897,601.00,1701,1639,"3,340.00",景文里,中和區
,298,0.307237299930411,883.00,3003,2874,"5,877.00",錦和里,中和區
,299,0.335772357723577,413.00,1183,1230,"2,413.00",錦昌里,中和區
,300,0.194130925507901,86.00,400,443,843.00,灰󿾨里,中和區
,301,0.327565196197904,"1,344.00",4378,4103,"8,481.00",積穗里,中和區
,302,0.305230288836846,391.00,1330,1281,"2,611.00",民享里,中和區
,303,0.292653673163418,976.00,3501,3335,"6,836.00",員山里,中和區
,304,0.301428571428571,422.00,1402,1400,"2,802.00",嘉穗里,中和區
,305,0.279302670623145,753.00,2837,2696,"5,533.00",文元里,中和區
,306,0.25503355704698,532.00,2112,2086,"4,198.00",嘉新里,中和區
,307,0.270962732919255,698.00,2596,2576,"5,172.00",民安里,中和區
,308,0.284918594687232,665.00,2462,2334,"4,796.00",安穗里,中和區
,309,0.305084745762712,360.00,1354,1180,"2,534.00",瑞穗里,中和區
,310,0.35609551738584,850.00,2390,2387,"4,777.00",明穗里,中和區
,311,0.266551525618883,463.00,1676,1737,"3,413.00",清穗里,中和區
,312,0.285496183206107,748.00,2682,2620,"5,302.00",自強里,中和區
,313,0.337538060026098,776.00,2393,2299,"4,692.00",德穗里,中和區
,314,0.325548141086749,683.00,2274,2098,"4,372.00",民生里,中和區
,315,0.3295,659.00,2098,2000,"4,098.00",國光里,中和區
,316,0.318884120171674,743.00,2518,2330,"4,848.00",壽德里,中和區
,317,0.246663371230845,499.00,2088,2023,"4,111.00",明德里,中和區
,318,0.296750133191263,557.00,2005,1877,"3,882.00",秀水里,中和區
,319,0.405277201304477,"1,367.00",3568,3373,"6,941.00",德行里,中和區
,320,0.385945945945946,357.00,964,925,"1,889.00",宜安里,中和區
,321,0.390750353940538,828.00,2398,2119,"4,517.00",安順里,中和區
,322,0.348550724637681,481.00,1367,1380,"2,747.00",秀義里,中和區
,323,0.346613545816733,435.00,1315,1255,"2,570.00",秀士里,中和區
,324,0.292002479851209,471.00,1705,1613,"3,318.00",興南里,中和區
,325,0.319778188539741,346.00,1166,1082,"2,248.00",景本里,中和區
,326,0.310760667903525,670.00,2384,2156,"4,540.00",福南里,中和區
,327,0.395050946142649,"1,357.00",3697,3435,"7,132.00",中興里,中和區
,328,0.375173370319001,541.00,1704,1442,"3,146.00",吉興里,中和區
,329,0.299797434166104,444.00,1539,1481,"3,020.00",中山里,中和區
,330,0.315395414131961,674.00,2204,2137,"4,341.00",碧河里,中和區
,331,0.285250463821892,615.00,2258,2156,"4,414.00",錦中里,中和區
,332,0.267430278884462,537.00,2112,2008,"4,120.00",錦盛里,中和區
,333,0.284232365145228,411.00,1464,1446,"2,910.00",民有里,中和區
,334,0.25967470555244,463.00,1759,1783,"3,542.00",員富里,中和區
,335,0.248468941382327,568.00,2299,2286,"4,585.00",嘉慶里,中和區
,336,0.359304932735426,641.00,1740,1784,"3,524.00",冠穗里,中和區
,337,0.276914219919401,481.00,1745,1737,"3,482.00",國華里,中和區
,338,0.290753607696419,544.00,1859,1871,"3,730.00",正南里,中和區
,339,0.358238825883923,537.00,1640,1499,"3,139.00",正行里,中和區
,340,0.410109132682366,714.00,1841,1741,"3,582.00",福林里,永和區
,341,0.380883417813179,526.00,1514,1381,"2,895.00",文化里,永和區
,342,0.342331768388106,875.00,2432,2556,"4,988.00",豫溪里,永和區
,343,0.452380952380952,646.00,1731,1428,"3,159.00",光明里,永和區
,344,0.392290249433107,519.00,1459,1323,"2,782.00",仁愛里,永和區
,345,0.415599534342258,714.00,1941,1718,"3,659.00",永貞里,永和區
,346,0.442948263642807,625.00,1492,1411,"2,903.00",永福里,永和區
,347,0.34910394265233,487.00,1677,1395,"3,072.00",民治里,永和區
,348,0.22093023255814,114.00,536,516,"1,052.00",永成里,永和區
,349,0.239910313901345,107.00,413,446,859.00,忠義里,永和區
