代碼,學校名稱,公/私立,縣市名稱,地址
14722,市立竹圍國小,公立,新北市,[251]新北市淡水區中正東路二段145號
14723,市立石門國小,公立,新北市,[253]新北市石門區尖鹿里中央路9號
14724,市立乾華國小,公立,新北市,[253]新北市石門區茂林里茂林社區74號
14725,市立老梅國小,公立,新北市,[253]新北市石門區老梅里老梅路10號
14726,市立三芝國小,公立,新北市,[252]新北市三芝區埔頭里育英街22號
14727,市立橫山國小,公立,新北市,[252]新北市三芝區橫山里86號
14728,市立興華國小,公立,新北市,[252]新北市三芝區興華里5號
14729,市立新莊國小,公立,新北市,[242]新北市新莊區立人里中正路86號
14730,市立中港國小,公立,新北市,[242]新北市新莊區立志里中港一街142號
14731,市立思賢國小,公立,新北市,[242]新北市新莊區自立街229號
14732,市立頭前國小,公立,新北市,[242]新北市新莊區頭前里化成路231號
14733,市立國泰國小,公立,新北市,[242]新北市新莊區中正路386號
14734,市立豐年國小,公立,新北市,[242]新北市新莊區國泰里瓊泰路116號
14735,市立丹鳳國小,公立,新北市,[242]新北市新莊區新北大道七段437號
14736,市立光華國小,公立,新北市,[242]新北市新莊區龍安路452號
14737,市立民安國小,公立,新北市,[242]新北市新莊區民全里民安路二六一號
14738,市立昌隆國小,公立,新北市,[242]新北市新莊區昌隆街63號
14739,市立泰山國小,公立,新北市,[243]新北市泰山區泰林路二段255號
14740,市立明志國小,公立,新北市,[243]新北市泰山區新生路2號
14741,市立成州國小,公立,新北市,[248]新北市五股區成泰路三段493號
14742,市立更寮國小,公立,新北市,[248]新北市五股區四維路2號
14743,市立五股國小,公立,新北市,[248]新北市五股區五股里成泰路二段49號
14744,市立蘆洲國小,公立,新北市,[247]新北市蘆洲區中正路100號
14745,市立鷺江國小,公立,新北市,[247]新北市蘆洲區民族路7號
14746,市立八里國小,公立,新北市,[249]新北市八里區舊城里中山路二段338號
14747,市立長坑國小,公立,新北市,[249]新北市八里區中華路三段236號
14748,市立米倉國小,公立,新北市,[249]新北市八里區米倉里龍米路2段129巷1號
14749,市立林口國小,公立,新北市,[244]新北市林口區菁湖里林口路76號
14750,市立南勢國小,公立,新北市,[244]新北市林口區南勢五街2號
14751,市立嘉寶國小,公立,新北市,[244]新北市林口區嘉寶里22號
14752,市立瑞平國小,公立,新北市,[244]新北市林口區太平里後坑路34之1號
14753,市立興福國小,公立,新北市,[244]新北市林口區下福里20鄰一○之一號
14754,市立三重國小,公立,新北市,[241]新北市三重區三和路三段1號
14755,市立永福國小,公立,新北市,[241]新北市三重區永福里永福街66號
14756,市立光榮國小,公立,新北市,[241]新北市三重區介壽路32號
14757,市立厚德國小,公立,新北市,[241]新北市三重區忠孝路一段70號
14758,市立碧華國小,公立,新北市,[241]新北市三重區五華街160號
14759,市立三光國小,公立,新北市,[241]新北市三重區同安里大同南路157號
14760,市立光興國小,公立,新北市,[241]新北市三重區正義南路62號
14761,市立正義國小,公立,新北市,[241]新北市三重區信義西街31號
14762,市立修德國小,公立,新北市,[241]新北市三重區重陽路三段3號
14763,市立二重國小,公立,新北市,[241]新北市三重區二重里大有街10號
14764,市立興穀國小,公立,新北市,[241]新北市三重區五谷王北街46號
14765,市立興化國小,公立,新北市,[248]新北市新莊區福興里五工二路50巷2號
14766,市立中山國小,公立,新北市,[220]新北市板橋區大觀路二段59巷31號
14767,市立三多國小,公立,新北市,[238]新北市樹林區三福街52號
14768,市立實踐國小,公立,新北市,[220]新北市板橋區實踐路93巷51號
14769,市立大觀國小,公立,新北市,[220]新北市板橋區大觀路一段30號
14770,市立溪洲國小,公立,新北市,[220]新北市板橋區金門街289號
14771,市立信義國小,公立,新北市,[220]新北市板橋區四川路二段245巷60號
14772,市立重慶國小,公立,新北市,[220]新北市板橋區廣和街31號
14773,市立樂利國小,公立,新北市,[236]新北市土城區裕生路65號
14774,市立安和國小,公立,新北市,[236]新北市土城區延和路23號
14775,市立彭福國小,公立,新北市,[238]新北市樹林區忠孝街30號
14776,市立育林國小,公立,新北市,[238]新北市樹林區復興路395號
14777,市立建國國小,公立,新北市,[239]新北市鶯歌區育英街2號
14778,市立安溪國小,公立,新北市,[237]新北市三峽區中華路42號
14779,市立樟樹國小,公立,新北市,[221]新北市汐止區樟樹一路141巷2號
14780,市立金美國小,公立,新北市,[208]新北市金山區忠孝一路111號
14781,市立新和國小,公立,新北市,[231]新北市新店區安和路三段100號
14782,市立鄧公國小,公立,新北市,[251]新北市淡水區學府里學府路99號
14783,市立新興國小,公立,新北市,[251]新北市淡水區新興街123號
14784,市立重陽國小,公立,新北市,[241]新北市三重區中正北路113號
14785,市立五華國小,公立,新北市,[241]新北市三重區集賢路89號
14786,市立成功國小,公立,新北市,[247]新北市蘆洲區長安街311號
14787,市立仁愛國小,公立,新北市,[247]新北市蘆洲區民族路488號
14788,市立榮富國小,公立,新北市,[242]新北市新莊區中和街193號
14789,市立裕民國小,公立,新北市,[242]新北市新莊區裕民街123號
14790,市立新泰國小,公立,新北市,[242]新北市新莊區公園一路91號
14791,市立中信國小,公立,新北市,[242]新北市新莊區中信街168號
14792,市立德音國小,公立,新北市,[248]新北市五股區明德路2號
14793,市立麗園國小,公立,新北市,[244]新北市林口區忠孝路591號
14794,市立北新國小,公立,新北市,[231]新北市新店區寶橋路8號
14795,市立同榮國小,公立,新北市,[243]新北市泰山區公園路33號
14796,市立光復國小,公立,新北市,[235]新北市中和區光環路二段1號
14797,市立秀峰國小,公立,新北市,[221]新北市汐止區仁愛路90號
14798,市立金龍國小,公立,新北市,[221]新北市汐止區明峰街201號
14799,市立介壽國小,公立,新北市,[237]新北市三峽區大同路1號
14801,市立昌平國小,公立,新北市,[242]新北市新莊區昌平街200號
14802,市立麗林國小,公立,新北市,[244]新北市林口區公園路46號
14803,市立集美國小,公立,新北市,[241]新北市三重區集美街10號
14804,市立永吉國小,公立,新北市,[239]新北市鶯歌區德昌二街2號
14805,市立大崁國小,公立,新北市,[249]新北市八里區忠八街2號
14806,市立中園國小,公立,新北市,[237]新北市三峽區大同路222巷22弄2號
14807,市立昌福國小,公立,新北市,[239]新北市鶯歌區永明街22號
14808,市立忠義國小,公立,新北市,[247]新北市蘆洲區光榮路99號
14809,市立豐珠國(中)小,公立,新北市,[228]新北市貢寮區美豐里雞母嶺街6-6號
14811,市立青山國(中)小,公立,新北市,[221]新北市汐止區莊敬街33號
14812,市立義學國小,公立,新北市,[243]新北市泰山區民生路30號
14813,市立達觀國(中)小,公立,新北市,[231]新北市新店區僑信路1號
14814,市立桃子腳國(中)小,公立,新北市,[238]新北市樹林區學勤路555號
14815,市立龍埔國小,公立,新北市,[237]新北市三峽區大學路6號
14816,市立頭湖國小,公立,新北市,[244]新北市林口區民權路101號
14817,市立新市國小,公立,新北市,[251]新北市淡水區中山北路二段200號
313601,市立松山國小,公立,臺北市,[105]臺北市松山區八德路四段746號
313602,市立西松國小,公立,臺北市,[105]臺北市松山區東光里三民路5號
313604,市立敦化國小,公立,臺北市,[105]臺北市松山區中正里敦化北路2號
313605,市立民生國小,公立,臺北市,[105]臺北市松山區敦化北路199巷18號
313606,市立民權國小,公立,臺北市,[105]臺北市松山區民權東路四段200號
313607,市立民族國小,公立,臺北市,[105]臺北市松山區民生東路4段97巷7號
313608,市立三民國小,公立,臺北市,[105]臺北市松山區莊敬里民權東路五段1號
313609,市立健康國小,公立,臺北市,[105]臺北市松山區延壽街168號
323601,市立興雅國小,公立,臺北市,[110]臺北市信義區雅祥里基隆路1段83巷9號
323602,市立永春國小,公立,臺北市,[110]臺北市信義區永春里松山路225巷48號
323603,市立光復國小,公立,臺北市,[110]臺北市信義區光復南路271號
323604,市立三興國小,公立,臺北市,[110]臺北市信義區景聯里基隆路2段99號
323605,市立信義國小,公立,臺北市,[110]臺北市信義區松勤街60號
323606,市立吳興國小,公立,臺北市,[110]臺北市信義區松仁路226號
323607,市立福德國小,公立,臺北市,[110]臺北市信義區中行里褔德街253號
323608,市立永吉國小,公立,臺北市,[110]臺北市信義區永春里松山路287巷5號
323609,市立博愛國小,公立,臺北市,[110]臺北市信義區松仁路22鄰95巷20號
330601,國立臺北教大實小,公立,臺北市,[106]臺北市大安區龍淵里和平東路2段94號
331601,私立復興國小,私立,臺北市,[106]臺北市大安區仁愛里敦化南路1段262號
331602,私立立人國(中)小,私立,臺北市,[106]臺北市大安區義榮里安和路二段99號
331603,私立新民小學,私立,臺北市,[106]臺北市大安區龍坡里辛亥路1段113號
333601,市立龍安國小,公立,臺北市,[106]臺北市大安區龍門里新生南路3段33號
333602,市立大安國小,公立,臺北市,[106]臺北市大安區芳和里臥龍街129號
333603,市立幸安國小,公立,臺北市,[106]臺北市大安區民炤里仁愛路3段22號
333604,市立建安國小,公立,臺北市,[106]臺北市大安區龍雲里大安路2段99號
333605,市立仁愛國小,公立,臺北市,[106]臺北市大安區敦安里安和路1段60號
333606,市立金華國小,公立,臺北市,[106]臺北市大安區永康里愛國東路79巷11號
