the_geom,cartodb_id,ratio,field_6,people_total_f,people_total_m,people_total,village,site_id
,327,7.29299363057325,471.00,3697,3435,"7,132.00",中興里,中和區
,328,4.16763005780347,346.00,1704,1442,"3,146.00",吉興里,中和區
,329,2.21044776119403,670.00,1539,1481,"3,020.00",中山里,中和區
,330,1.57479734708917,"1,357.00",2204,2137,"4,341.00",碧河里,中和區
,331,3.98521256931608,541.00,2258,2156,"4,414.00",錦中里,中和區
,332,4.52252252252252,444.00,2112,2008,"4,120.00",錦盛里,中和區
,333,2.14540059347181,674.00,1464,1446,"2,910.00",民有里,中和區
,334,2.89918699186992,615.00,1759,1783,"3,542.00",員富里,中和區
,335,4.25698324022346,537.00,2299,2286,"4,585.00",嘉慶里,中和區
,336,4.34063260340633,411.00,1740,1784,"3,524.00",冠穗里,中和區
,337,3.75161987041037,463.00,1745,1737,"3,482.00",國華里,中和區
,338,3.29401408450704,568.00,1859,1871,"3,730.00",正南里,中和區
,339,2.33853354134165,641.00,1640,1499,"3,139.00",正行里,中和區
,340,3.61954261954262,481.00,1841,1741,"3,582.00",福林里,永和區
,341,2.53860294117647,544.00,1514,1381,"2,895.00",文化里,永和區
,342,4.75977653631285,537.00,2432,2556,"4,988.00",豫溪里,永和區
,344,2.51520912547529,526.00,1459,1323,"2,782.00",仁愛里,永和區
,345,1.96342857142857,875.00,1941,1718,"3,659.00",永貞里,永和區
,346,2.18421052631579,646.00,1492,1411,"2,903.00",永福里,永和區
,347,2.6878612716763,519.00,1677,1395,"3,072.00",民治里,永和區
,348,0.722689075630252,714.00,536,516,"1,052.00",永成里,永和區
,349,0.7136,625.00,413,446,859.00,忠義里,永和區
,350,4.80082135523614,487.00,2719,2338,"5,057.00",永元里,永和區
,351,16.7105263157895,114.00,2006,1905,"3,911.00",秀林里,永和區
,352,34.2056074766355,107.00,4015,3660,"7,675.00",保安里,永和區
,353,3.04487917146145,869.00,2686,2646,"5,332.00",中溪里,永和區
,354,2.76158038147139,734.00,2355,2027,"4,382.00",永安里,永和區
,355,1.48339719029374,"1,566.00",2594,2323,"4,917.00",民族里,永和區
,356,2.40695296523517,978.00,2496,2354,"4,850.00",民權里,永和區
,357,1.43155694879833,957.00,1612,1370,"2,982.00",中興里,永和區
,358,0.690344062153163,901.00,691,622,"1,313.00",勵行里,永和區
,359,2.24617067833698,914.00,2164,2053,"4,217.00",秀朗里,永和區
,360,2.71479500891266,561.00,1560,1523,"3,083.00",秀成里,永和區
,361,4.49765258215962,213.00,1119,958,"2,077.00",上溪里,永和區
,362,2.73809523809524,672.00,1991,1840,"3,831.00",竹林里,永和區
,363,3.39964157706093,558.00,2233,1897,"4,130.00",雙和里,永和區
,364,5.21467391304348,368.00,2209,1919,"4,128.00",安和里,永和區
,365,2.86369958275382,719.00,2246,2059,"4,305.00",水源里,永和區
,366,1.91612903225806,775.00,1577,1485,"3,062.00",協和里,永和區
,367,1.91519434628975,849.00,1776,1626,"3,402.00",河堤里,永和區
,368,1.49210206561361,823.00,1342,1228,"2,570.00",頂溪里,永和區
,369,4.08856088560886,542.00,2659,2216,"4,875.00",潭墘里,永和區
,370,3.40329218106996,729.00,2624,2481,"5,105.00",潭安里,永和區
,371,2.39611650485437,515.00,1504,1234,"2,738.00",大新里,永和區
,372,2.48307692307692,975.00,2713,2421,"5,134.00",保平里,永和區
,373,1.96884128529698,"1,027.00",2248,2022,"4,270.00",民本里,永和區
