site_id,village,people_total,people_total_m,people_total_f,sum,ratio
區域別,村里,人口數,人口數-男,人口數-女,sum,ratio
永和區,光明里,"3,159.00",1428,1731,646.00,0.452380952380952
永和區,仁愛里,"2,782.00",1323,1459,519.00,0.392290249433107
永和區,永貞里,"3,659.00",1718,1941,714.00,0.415599534342258
永和區,永福里,"2,903.00",1411,1492,625.00,0.442948263642807
永和區,民治里,"3,072.00",1395,1677,487.00,0.34910394265233
永和區,永成里,"1,052.00",516,536,114.00,0.22093023255814
永和區,忠義里,859.00,446,413,107.00,0.239910313901345
永和區,永元里,"5,057.00",2338,2719,869.00,0.371685201026518
永和區,秀林里,"3,911.00",1905,2006,734.00,0.385301837270341
永和區,保安里,"7,675.00",3660,4015,"1,566.00",0.427868852459016
永和區,中溪里,"5,332.00",2646,2686,978.00,0.369614512471655
永和區,永安里,"4,382.00",2027,2355,957.00,0.472126295017267
永和區,民族里,"4,917.00",2323,2594,901.00,0.387860525182953
永和區,民權里,"4,850.00",2354,2496,914.00,0.388275276125743
永和區,中興里,"2,982.00",1370,1612,561.00,0.409489051094891
永和區,勵行里,"1,313.00",622,691,213.00,0.342443729903537
永和區,秀朗里,"4,217.00",2053,2164,672.00,0.327325864588407
永和區,秀成里,"3,083.00",1523,1560,558.00,0.366382140512147
永和區,上溪里,"2,077.00",958,1119,368.00,0.384133611691023
永和區,竹林里,"3,831.00",1840,1991,719.00,0.390760869565217
永和區,雙和里,"4,130.00",1897,2233,775.00,0.408539799683711
永和區,安和里,"4,128.00",1919,2209,849.00,0.442417926003127
永和區,水源里,"4,305.00",2059,2246,823.00,0.399708596406022
永和區,協和里,"3,062.00",1485,1577,542.00,0.364983164983165
永和區,河堤里,"3,402.00",1626,1776,729.00,0.448339483394834
永和區,頂溪里,"2,570.00",1228,1342,515.00,0.419381107491857
永和區,潭墘里,"4,875.00",2216,2659,975.00,0.439981949458484
永和區,潭安里,"5,105.00",2481,2624,"1,027.00",0.413945989520355
永和區,大新里,"2,738.00",1234,1504,561.00,0.454619124797407
永和區,保平里,"5,134.00",2421,2713,921.00,0.380421313506815
永和區,民本里,"4,270.00",2022,2248,776.00,0.3837784371909
永和區,民樂里,"5,026.00",2455,2571,"1,065.00",0.433808553971487
永和區,光復里,"1,775.00",810,965,340.00,0.419753086419753
永和區,復興里,"2,482.00",1186,1296,534.00,0.450252951096121
永和區,福和里,"5,416.00",2544,2872,"1,224.00",0.481132075471698
永和區,得和里,"4,535.00",2126,2409,974.00,0.458137347130762
永和區,智光里,"3,585.00",1742,1843,531.00,0.304822043628014
永和區,新生里,890.00,455,435,100.00,0.21978021978022
永和區,大同里,"1,002.00",514,488,97.00,0.188715953307393
永和區,前溪里,"2,211.00",1021,1190,429.00,0.420176297747307
永和區,和平里,"5,136.00",2456,2680,964.00,0.392508143322476
永和區,新廍里,"2,323.00",1152,1171,459.00,0.3984375
永和區,下溪里,"4,215.00",2054,2161,721.00,0.351022395326193
