the_geom,cartodb_id,ratio,old_population,people_total,household_no,village,site_id
,350,0.124039653,1001,8070,3455,週美里,內湖區
,351,0.12135506,849,6996,2819,行善里,內湖區
,352,0.1162141588,458,3941,1910,石潭里,內湖區
,353,0.116672303,1035,8871,3994,湖興里,內湖區
,354,0.1142260143,656,5743,2104,湖元里,內湖區
,355,0.07915879017,670,8464,2748,安湖里,內湖區
,356,0.1368163015,893,6527,2452,秀湖里,內湖區
,357,0.09180158457,533,5806,2104,安泰里,內湖區
,358,0.08749165156,917,10481,3902,金湖里,內湖區
,359,0.08887290661,865,9733,3196,康寧里,內湖區
,360,0.0684263618,407,5948,1964,明湖里,內湖區
,361,0.09486447932,133,1402,505,蘆洲里,內湖區
,362,0.1059508816,673,6352,2297,麗山里,內湖區
,363,0.09412289506,844,8967,3760,寶湖里,內湖區
,364,0.06975617633,432,6193,2235,南湖里,內湖區
,365,0.166076069,703,4233,1555,仁勇里,士林區
,366,0.1498525074,508,3390,1351,義信里,士林區
,367,0.1896389325,604,3185,1245,福林里,士林區
,368,0.1831513769,1124,6137,2912,福德里,士林區
,369,0.1840645487,1460,7932,3033,福志里,士林區
,370,0.1864619242,1190,6382,2442,舊佳里,士林區
,371,0.1651742498,1365,8264,2994,福佳里,士林區
,372,0.1404442388,1214,8644,3090,後港里,士林區
,373,0.1243634414,928,7462,2624,福中里,士林區
,374,0.1219861054,597,4894,1760,前港里,士林區
,375,0.1331846214,1015,7621,2551,百齡里,士林區
,376,0.15661839,930,5938,2390,承德里,士林區
,377,0.148257531,1004,6772,2597,福華里,士林區
,378,0.17037179,889,5218,1962,明勝里,士林區
,379,0.154655726,867,5606,2108,福順里,士林區
,380,0.1446440026,902,6236,2147,富光里,士林區
,381,0.1404686356,1151,8194,2849,葫蘆里,士林區
,382,0.1422007811,619,4353,1588,葫東里,士林區
,383,0.1417345751,974,6872,2442,社子里,士林區
,384,0.1358560794,1314,9672,3464,社新里,士林區
,385,0.1316872428,1024,7776,2630,社園里,士林區
,386,0.143970894,1108,7696,2754,永倫里,士林區
,387,0.1370428628,697,5086,1850,福安里,士林區
,388,0.1348425197,822,6096,2394,富洲里,士林區
,389,0.1505286589,541,3594,1280,岩山里,士林區
,390,0.1566249176,1188,7585,2696,名山里,士林區
,391,0.1674994569,771,4603,1902,德行里,士林區
,392,0.166809532,973,5833,2226,德華里,士林區
,393,0.1580026085,848,5367,1955,聖山里,士林區
,394,0.1790311653,1057,5904,2186,忠誠里,士林區
,395,0.1316841579,1054,8004,2809,芝山里,士林區
,396,0.1491987475,810,5429,1815,東山里,士林區
,397,0.1495948136,923,6170,2174,三玉里,士林區
,398,0.1528188287,1396,9135,3323,蘭雅里,士林區
,399,0.1437308869,987,6867,2465,蘭興里,士林區
,400,0.1427274103,943,6607,2327,天福里,士林區
,401,0.1597676107,880,5508,1981,天祿里,士林區
,402,0.1570759138,838,5335,1963,天壽里,士林區
