statistic_yyymm,site_id,village,people_total,people_total_m,people_total_f
統計年月,區域別,村里,人口數,人口數-男,人口數-女
10509,新店區,龜山里,1800,919,881
10509,新店區,廣興里,1383,763,620
10509,新店區,直潭里,1305,691,614
10509,新店區,青潭里,5643,2740,2903
10509,新店區,新店里,1873,939,934
10509,新店區,張南里,2136,963,1173
10509,新店區,國校里,2672,1320,1352
10509,新店區,文中里,1813,870,943
10509,新店區,廣明里,878,440,438
10509,新店區,文明里,2386,1169,1217
10509,新店區,中興里,5450,2591,2859
10509,新店區,新生里,6111,2843,3268
10509,新店區,新德里,2828,1310,1518
10509,新店區,張北里,8493,4066,4427
10509,新店區,五峯里,7417,3476,3941
10509,新店區,新安里,6556,3424,3132
10509,新店區,忠誠里,2546,1210,1336
10509,新店區,中正里,6670,3099,3571
10509,新店區,中華里,4504,2136,2368
10509,新店區,仁愛里,2162,1010,1152
10509,新店區,百忍里,4112,1921,2191
10509,新店區,百和里,3441,1668,1773
10509,新店區,福德里,4155,1957,2198
10509,新店區,百福里,3619,1679,1940
10509,新店區,福民里,4276,1993,2283
10509,新店區,中山里,4835,2221,2614
10509,新店區,和平里,945,476,469
10509,新店區,中央里,5894,2742,3152
10509,新店區,明城里,3633,1769,1864
10509,新店區,安和里,7544,3670,3874
10509,新店區,吉祥里,4944,2373,2571
10509,新店區,寶福里,7432,3604,3828
10509,新店區,小城里,3945,1937,2008
10509,新店區,香坡里,10546,5100,5446
10509,新店區,建國里,3191,1462,1729
10509,新店區,復興里,3476,1672,1804
10509,新店區,美城里,2838,1375,1463
10509,新店區,安昌里,5478,2566,2912
10509,新店區,長春里,2625,1228,1397
10509,新店區,新和里,4345,2080,2265
10509,新店區,永平里,5999,2890,3109
10509,新店區,達觀里,3827,1795,2032
10509,新店區,華城里,2679,1246,1433
10509,樹林區,三多里,4387,2213,2174
10509,樹林區,三福里,4398,2171,2227
10509,樹林區,三興里,5196,2654,2542
10509,樹林區,圳安里,3804,1920,1884
10509,樹林區,保安里,6816,3408,3408
10509,樹林區,潭底里,5172,2825,2347
10509,樹林區,󿾵寮里,5379,2673,2706
10509,樹林區,樹德里,3885,1917,1968
10509,樹林區,樹西里,5523,2722,2801
10509,樹林區,樹南里,4447,2193,2254
10509,樹林區,樹人里,3650,1786,1864
10509,樹林區,坡內里,1824,918,906
10509,樹林區,樹東里,1221,609,612
10509,樹林區,大同里,3732,1794,1938
10509,樹林區,和平里,4140,2074,2066
10509,樹林區,彭厝里,5378,2659,2719
10509,樹林區,彭福里,5476,2720,2756
10509,樹林區,東山里,3467,1767,1700
10509,樹林區,東陽里,6379,3246,3133
10509,樹林區,東昇里,5144,2540,2604
10509,樹林區,樂山里,1863,974,889
10509,樹林區,東園里,1922,1043,879
10509,樹林區,西園里,1945,1048,897
10509,樹林區,南園里,14950,7164,7786
10509,樹林區,北園里,2365,1235,1130
10509,樹林區,柑園里,9521,4604,4917
10509,樹林區,樹北里,963,475,488
10509,樹林區,圳福里,4656,2330,2326
10509,樹林區,樹興里,3989,1970,2019
10509,樹林區,樹福里,3801,1812,1989
10509,樹林區,光興里,4222,2120,2102
10509,樹林區,金寮里,4602,2318,2284
10509,樹林區,彭興里,6276,3127,3149
10509,樹林區,文林里,5511,2711,2800
10509,樹林區,山佳里,6122,3119,3003
10509,樹林區,中山里,5528,2804,2724
10509,樹林區,育英里,3258,1585,1673
10509,樹林區,中華里,3544,1705,1839
10509,樹林區,太順里,2948,1509,1439
10509,樹林區,圳民里,2923,1510,1413
10509,樹林區,圳生里,1733,906,827
10509,樹林區,三龍里,2183,1125,1058
10509,鶯歌區,東鶯里,1132,573,559
10509,鶯歌區,西鶯里,2468,1227,1241
10509,鶯歌區,南鶯里,6190,3047,3143
10509,鶯歌區,北鶯里,4521,2273,2248
10509,鶯歌區,中鶯里,1134,552,582
10509,鶯歌區,建德里,605,336,269
10509,鶯歌區,同慶里,1962,943,1019
10509,鶯歌區,永昌里,9413,4676,4737
10509,鶯歌區,南靖里,3864,1968,1896
10509,鶯歌區,尖山里,7578,3809,3769
10509,鶯歌區,二橋里,8457,4321,4136
10509,鶯歌區,二甲里,1063,559,504
10509,鶯歌區,東湖里,288,158,130
10509,鶯歌區,大湖里,5517,2782,2735
10509,鶯歌區,鳳鳴里,5004,2521,2483
10509,鶯歌區,鳳福里,4209,2070,2139
10509,鶯歌區,永吉里,5318,2657,2661
10509,鶯歌區,中湖里,6341,3264,3077
10509,鶯歌區,鳳祥里,4966,2478,2488
10509,鶯歌區,建國里,7332,3571,3761
10509,三峽區,三峽里,316,176,140
10509,三峽區,秀川里,701,341,360
10509,三峽區,八張里,4260,2140,2120
10509,三峽區,中埔里,3128,1550,1578
10509,三峽區,弘道里,1264,702,562
10509,三峽區,永舘里,8035,3846,4189
10509,三峽區,礁溪里,6067,2992,3075
10509,三峽區,鳶山里,10606,5276,5330
10509,三峽區,龍埔里,9872,4901,4971
10509,三峽區,大埔里,4389,2312,2077
10509,三峽區,嘉添里,2620,1529,1091
10509,三峽區,添福里,1247,674,573
10509,三峽區,金圳里,566,332,234
10509,三峽區,五寮里,986,531,455
10509,三峽區,插角里,783,454,329
10509,三峽區,有木里,827,487,340
10509,三峽區,溪北里,2551,1352,1199
10509,三峽區,溪南里,1689,919,770
10509,三峽區,溪東里,3259,1693,1566
10509,三峽區,成福里,1022,552,470
10509,三峽區,安坑里,1567,875,692
10509,三峽區,竹崙里,2181,1229,952
10509,三峽區,介壽里,7032,3556,3476
10509,三峽區,安溪里,8132,4042,4090
10509,三峽區,中正里,5559,2782,2777
10509,三峽區,二鬮里,3736,1892,1844
10509,三峽區,龍學里,15308,7085,8223
10509,三峽區,龍恩里,6238,3005,3233
10509,淡水區,中和里,660,376,284
10509,淡水區,屯山里,1203,652,551
10509,淡水區,賢孝里,1695,906,789
10509,淡水區,興仁里,1742,926,816
10509,淡水區,蕃薯里,1104,614,490
10509,淡水區,義山里,2919,1527,1392
10509,淡水區,忠山里,948,514,434
10509,淡水區,崁頂里,11168,5416,5752
10509,淡水區,埤島里,1621,867,754
10509,淡水區,新興里,7513,3524,3989
10509,淡水區,水碓里,6256,3033,3223
10509,淡水區,北投里,10395,4949,5446
