縣市代碼,縣市名稱,學校代碼,學校名稱,1年級班級數,2年級班級數,3年級班級數,4年級班級數,5年級班級數,6年級班級數,1年級男學生數,1年級女學生數,2年級男學生數,2年級女學生數,3年級男學生數,3年級女學生數,4年級男學生數,4年級女學生數,5年級男學生數,5年級女學生數,6年級男學生數,6年級女學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
30,台北市,323606,市立吳興國小,5,8,7,6,8,7,74,67,84,64,73,67,76,68,71,86,77,71,91,77,22,68,3,7
30,台北市,323607,市立福德國小,5,5,5,5,6,7,59,62,73,67,66,75,71,63,68,66,84,56,66,74,19,51,3,5
30,台北市,323608,市立永吉國小,3,3,3,3,4,4,41,30,52,31,41,35,36,30,45,43,53,36,47,47,7,38,2,4
30,台北市,323609,市立博愛國小,12,12,12,12,12,13,186,165,189,164,181,179,164,172,173,146,175,182,187,166,42,97,3,9
30,台北市,330601,國立台北教育大學附小,6,6,7,7,6,6,89,89,94,90,81,101,95,87,98,87,102,72,86,79,11,60,0,6
30,台北市,331601,私立復興國小,8,8,8,8,8,8,161,139,147,153,158,143,155,145,170,139,161,151,163,151,16,76,1,6
30,台北市,331602,私立立人國(中)小,2,2,2,2,2,2,52,32,47,37,38,36,32,25,34,21,27,24,26,26,3,12,0,0
30,台北市,331603,私立新民小學,4,4,4,4,4,4,62,50,66,40,64,60,60,46,61,51,66,55,69,75,6,36,0,6
30,台北市,333601,市立龍安國小,8,8,8,8,8,8,104,99,105,132,121,113,136,95,126,89,116,107,127,106,21,81,1,9
30,台北市,333602,市立大安國小,6,7,7,7,8,9,93,78,91,70,98,73,98,86,91,91,112,97,126,112,30,66,2,8
30,台北市,333603,市立幸安國小,8,8,9,8,9,9,125,113,123,98,138,105,134,91,102,109,117,89,128,105,25,87,1,10
30,台北市,333604,市立建安國小,8,9,12,13,10,14,121,115,126,102,167,131,129,128,123,137,139,139,145,126,34,101,2,10
30,台北市,333605,市立仁愛國小,13,14,14,14,13,14,205,179,195,194,231,181,203,190,169,186,180,168,210,157,32,135,1,10
30,台北市,333606,市立金華國小,7,7,7,7,7,7,107,97,118,82,99,111,112,86,102,90,110,106,107,97,17,67,2,6
