End of Year",性別,,總計,0 歲,1 歲,2 歲,3 歲,4 歲,5 歲,6 歲,7 歲,8 歲,9 歲,10 歲,11 歲,12 歲,13 歲,14 歲,15 歲,16 歲,17 歲,18 歲,19 歲,20 歲,21 歲,22 歲,23 歲,24 歲,25 歲,26 歲,27 歲,28 歲,29 歲,30 歲,31 歲,32 歲,33 歲,34 歲,35 歲,36 歲,37 歲,38 歲,39 歲,40 歲,41 歲,42 歲,43 歲,44 歲,45 歲,46 歲,47 歲,48 歲,49 歲,50 歲,51 歲,52 歲,53 歲,54 歲,55 歲,56 歲,57 歲,58 歲,59 歲,60 歲,61 歲,62 歲,63 歲,64 歲,65 歲,66 歲,67 歲,68 歲,69 歲,70 歲,71 歲,72 歲,73 歲,74 歲,75 歲,76 歲,77 歲,78 歲,79 歲,80 歲,81 歲,82 歲,83 歲,84 歲,85 歲,86 歲,87 歲,88 歲,89 歲,90 歲,91 歲,92 歲,93 歲,94 歲,95 歲,96 歲,97 歲,98 歲,99 歲,100 歲以上,,,,,,,,,,,,,,,,,,,
,Sex,,Grand Total,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years & Over,,,,,,,,,,,,,,,,,,,
一○一年  2012,計,T.,"23,315,822","218,944","200,726","169,383","195,345","199,285","206,354","207,227","208,527","218,611","227,555","246,380","257,175","306,117","282,778","267,270","322,997","321,921","323,608","321,576","325,423","318,879","316,889","332,761","308,364","338,686","306,966","299,696","338,305","365,471","377,997","400,145","411,342","406,856","415,993","404,652","385,179","418,006","361,439","355,434","354,330","353,711","363,747","373,132","373,946","372,670","354,530","379,696","374,690","380,391","385,646","379,221","372,818","368,791","364,790","352,542","334,410","344,723","335,944","317,171","304,189","296,835","299,576","251,681","232,440","203,788","178,274","143,661","127,957","148,281","149,307","144,918","144,003","141,151","132,021","120,863","116,065","106,624","102,725","95,781","88,588","85,109","82,860","78,065","69,908","62,634","54,459","48,123","39,962","31,206","25,133","21,469","17,451","12,149","8,731","6,490","4,947","3,242","2,357","1,804","1,235","2,599",,,,,,,,,,,,,,,,,,,
,男,M.,"11,673,319","113,340","104,129","88,264","101,654","104,172","107,837","108,343","108,673","114,710","119,248","128,818","133,833","159,791","147,651","139,059","168,195","167,462","167,684","167,176","168,527","166,231","165,485","173,654","159,796","175,188","158,408","153,027","171,384","184,870","189,937","199,992","205,446","201,920","207,188","201,246","190,607","207,709","178,543","175,793","175,838","174,540","180,485","185,590","186,237","186,139","177,564","189,342","186,726","189,944","191,631","188,724","185,482","183,386","180,439","174,063","164,489","169,636","165,414","155,182","148,656","144,981","145,610","122,503","112,618","98,741","85,884","68,820","60,823","70,525","70,784","67,959","67,314","65,145","60,073","54,728","52,014","47,822","45,835","43,004","40,665","40,377","40,322","39,544","35,291","31,774","27,621","24,087","20,053","15,052","11,764","9,989","7,925","5,427","3,899","2,782","2,034","1,424",989,765,540,"1,315",,,,,,,,,,,,,,,,,,,
,女,F.,"11,642,503","105,604","96,597","81,119","93,691","95,113","98,517","98,884","99,854","103,901","108,307","117,562","123,342","146,326","135,127","128,211","154,802","154,459","155,924","154,400","156,896","152,648","151,404","159,107","148,568","163,498","148,558","146,669","166,921","180,601","188,060","200,153","205,896","204,936","208,805","203,406","194,572","210,297","182,896","179,641","178,492","179,171","183,262","187,542","187,709","186,531","176,966","190,354","187,964","190,447","194,015","190,497","187,336","185,405","184,351","178,479","169,921","175,087","170,530","161,989","155,533","151,854","153,966","129,178","119,822","105,047","92,390","74,841","67,134","77,756","78,523","76,959","76,689","76,006","71,948","66,135","64,051","58,802","56,890","52,777","47,923","44,732","42,538","38,521","34,617","30,860","26,838","24,036","19,909","16,154","13,369","11,480","9,526","6,722","4,832","3,708","2,913","1,818","1,368","1,039",695,"1,284",,,,,,,,,,,,,,,,,,,
一○二年  2013,計,T.,"23,373,517","183,744","237,295","201,101","169,350","195,461","199,433","206,402","207,120","208,444","218,574","227,538","246,397","257,073","305,974","282,695","267,241","322,870","321,673","323,592","321,576","325,138","318,660","316,755","332,667","308,322","338,634","306,961","300,034","338,752","366,110","378,607","400,778","411,693","407,054","416,058","404,607","385,116","417,961","361,274","355,124","353,849","353,158","363,113","372,423","373,128","371,752","353,487","378,588","373,442","379,045","384,409","377,803","371,376","367,149","363,027","350,932","332,684","342,875","333,915","315,151","302,177","294,606","297,222","249,517","230,425","201,799","176,325","141,870","126,181","145,988","146,753","142,191","141,045","137,877","128,598","117,471","112,378","102,976","98,718","91,642","84,314","80,484","77,920","72,769","64,673","57,387","49,466","43,295","35,543","27,313","21,800","18,306","14,701","10,084","7,083","5,172","3,832","2,474","1,781","1,359","2,838",,,,,,,,,,,,,,,,,,,
,男,M.,"11,684,674","95,153","122,796","104,333","88,242","101,689","104,238","107,868","108,289","108,628","114,695","119,255","128,823","133,775","159,708","147,609","138,999","168,113","167,310","167,598","167,119","168,268","166,122","165,427","173,630","159,735","175,040","158,230","152,950","171,248","184,703","189,769","199,808","205,228","201,675","206,865","200,916","190,264","207,575","178,254","175,392","175,376","174,008","179,928","184,975","185,582","185,377","176,724","188,499","185,742","188,952","190,614","187,608","184,412","182,132","179,158","172,850","163,206","168,292","163,981","153,746","147,295","143,426","144,003","121,027","111,163","97,422","84,600","67,689","59,708","69,094","69,169","66,308","65,580","63,141","58,050","52,821","49,875","45,790","43,600","40,670","38,268","37,688","37,479","36,400","32,256","28,669","24,772","21,325","17,602","12,992","10,055","8,378","6,646","4,434","3,135","2,217","1,593","1,068",760,587,"1,418",,,,,,,,,,,,,,,,,,,
,女,F.,"11,688,843","88,591","114,499","96,768","81,108","93,772","95,195","98,534","98,831","99,816","103,879","108,283","117,574","123,298","146,266","135,086","128,242","154,757","154,363","155,994","154,457","156,870","152,538","151,328","159,037","148,587","163,594","148,731","147,084","167,504","181,407","188,838","200,970","206,465","205,379","209,193","203,691","194,852","210,386","183,020","179,732","178,473","179,150","183,185","187,448","187,546","186,375","176,763","190,089","187,700","190,093","193,795","190,195","186,964","185,017","183,869","178,082","169,478","174,583","169,934","161,405","154,882","151,180","153,219","128,490","119,262","104,377","91,725","74,181","66,473","76,894","77,584","75,883","75,465","74,736","70,548","64,650","62,503","57,186","55,118","50,972","46,046","42,796","40,441","36,369","32,417","28,718","24,694","21,970","17,941","14,321","11,745","9,928","8,055","5,650","3,948","2,955","2,239","1,406","1,021",772,"1,420",,,,,,,,,,,,,,,,,,,
一○三年  2014,計,T.,"23,433,753","199,275","197,591","237,780","201,100","169,380","195,576","199,553","206,252","207,012","208,419","218,606","227,519","246,372","256,965","305,900","282,694","267,134","322,664","321,678","323,631","321,370","324,902","318,462","316,596","332,553","308,168","338,519","307,113","300,357","339,080","366,438","378,990","401,126","411,805","407,133","415,991","404,546","385,104","417,643","360,943","354,656","353,348","352,555","362,460","371,639","372,238","370,855","352,494","377,344","372,173","377,751","382,915","376,283","369,769","365,434","361,224","349,083","330,790","340,908","331,830","313,006","299,950","292,388","294,743","247,287","228,183","199,584","173,972","139,862","124,280","143,470","143,945","139,162","137,755","134,359","124,988","113,837","108,401","98,800","94,364","87,134","79,764","75,667","72,682","67,195","59,259","51,931","44,409","38,304","31,058","23,519","18,547","15,345","12,036","8,120","5,643","4,040","2,933","1,837","1,310","2,995",,,,,,,,,,,,,,,,,,,
,男,M.,"11,697,971","102,859","102,420","123,040","104,313","88,248","101,746","104,293","107,790","108,255","108,617","114,732","119,233","128,805","133,747","159,666","147,581","138,961","167,970","167,245","167,564","166,938","168,149","166,029","165,318","173,511","159,587","174,871","158,142","152,819","171,103","184,518","189,571","199,586","204,931","201,379","206,576","200,567","190,163","207,215","177,838","174,908","174,856","173,523","179,342","184,316","184,860","184,637","175,961","187,524","184,759","187,901","189,490","186,464","183,203","180,869","177,816","171,518","161,865","166,884","162,531","152,212","145,746","141,911","142,312","119,494","109,600","95,978","83,121","66,356","58,529","67,516","67,445","64,488","63,592","61,034","56,020","50,771","47,676","43,433","41,196","38,198","35,751","34,977","34,533","33,143","29,101","25,593","21,958","18,520","15,157","11,044","8,437","6,936","5,318","3,529","2,453","1,747","1,214",796,561,"1,452",,,,,,,,,,,,,,,,,,,
,女,F.,"11,735,782","96,416","95,171","114,740","96,787","81,132","93,830","95,260","98,462","98,757","99,802","103,874","108,286","117,567","123,218","146,234","135,113","128,173","154,694","154,433","156,067","154,432","156,753","152,433","151,278","159,042","148,581","163,648","148,971","147,538","167,977","181,920","189,419","201,540","206,874","205,754","209,415","203,979","194,941","210,428","183,105","179,748","178,492","179,032","183,118","187,323","187,378","186,218","176,533","189,820","187,414","189,850","193,425","189,819","186,566","184,565","183,408","177,565","168,925","174,024","169,299","160,794","154,204","150,477","152,431","127,793","118,583","103,606","90,851","73,506","65,751","75,954","76,500","74,674","74,163","73,325","68,968","63,066","60,725","55,367","53,168","48,936","44,013","40,690","38,149","34,052","30,158","26,338","22,451","19,784","15,901","12,475","10,110","8,409","6,718","4,591","3,190","2,293","1,719","1,041",749,"1,543",,,,,,,,,,,,,,,,,,,
一○四年  2015,計,T.,"23,492,074","201,523","214,239","197,973","237,636","201,084","169,399","195,526","199,430","206,148","207,015","208,448","218,658","227,460","246,278","256,963","305,984","282,667","266,926","322,617","321,641","323,431","321,098","324,667","318,337","316,430","332,348","308,011","338,449","307,124","300,495","339,255","366,562","379,126","401,172","411,809","406,966","415,773","404,535","384,667","417,133","360,544","354,190","352,741","351,872","361,685","370,720","371,195","369,814","351,410","375,985","370,822","376,358","381,378","374,686","368,073","363,637","359,182","347,045","328,805","338,677","329,551","310,775","297,535","289,728","292,084","244,977","225,649","197,067","171,575","137,746","122,225","140,802","141,040","136,109","134,324","130,664","121,156","109,793","104,238","94,708","89,865","82,520","75,089","70,654","67,212","61,749","53,854","46,776","39,471","33,713","26,793","20,100","15,534","12,684","9,812","6,503","4,427","3,111","2,198","1,374","3,067",,,,,,,,,,,,,,,,,,,
,男,M.,"11,712,047","104,752","110,605","102,614","122,936","104,302","88,251","101,733","104,231","107,739","108,250","108,646","114,750","119,184","128,769","133,724","159,666","147,563","138,849","167,866","167,160","167,425","166,788","168,015","165,958","165,220","173,340","159,420","174,719","157,981","152,673","170,910","184,265","189,335","199,301","204,648","201,019","206,251","200,514","189,719","206,742","177,415","174,480","174,317","172,902","178,722","183,594","184,101","183,830","175,128","186,464","183,750","186,834","188,311","185,234","181,971","179,550","176,354","170,105","160,393","165,282","160,962","150,674","144,112","140,094","140,495","117,931","107,913","94,380","81,590","65,005","57,259","65,874","65,697","62,667","61,601","58,849","53,786","48,440","45,363","41,207","38,750","35,757","33,156","32,236","31,448","29,972","26,136","22,708","19,286","16,065","12,898","9,281","6,935","5,646","4,310","2,801","1,913","1,331",910,597,"1,442",,,,,,,,,,,,,,,,,,,
,女,F.,"11,780,027","96,771","103,634","95,359","114,700","96,782","81,148","93,793","95,199","98,409","98,765","99,802","103,908","108,276","117,509","123,239","146,318","135,104","128,077","154,751","154,481","156,006","154,310","156,652","152,379","151,210","159,008","148,591","163,730","149,143","147,822","168,345","182,297","189,791","201,871","207,161","205,947","209,522","204,021","194,948","210,391","183,129","179,710","178,424","178,970","182,963","187,126","187,094","185,984","176,282","189,521","187,072","189,524","193,067","189,452","186,102","184,087","182,828","176,940","168,412","173,395","168,589","160,101","153,423","149,634","151,589","127,046","117,736","102,687","89,985","72,741","64,966","74,928","75,343","73,442","72,723","71,815","67,370","61,353","58,875","53,501","51,115","46,763","41,933","38,418","35,764","31,777","27,718","24,068","20,185","17,648","13,895","10,819","8,599","7,038","5,502","3,702","2,514","1,780","1,288",777,"1,625",,,,,,,,,,,,,,,,,,,
一○五年  2016,計,T.,"23,539,816","196,873","216,007","214,590","197,963","237,630","201,142","169,367","195,401","199,267","206,089","206,976","208,344","218,583","227,389","246,260","257,011","305,886","282,424","266,868","322,587","321,441","323,185","320,908","324,507","318,108","316,230","332,156","307,919","338,460","307,272","300,731","339,442","366,816","379,219","401,359","411,784","406,818","415,896","404,324","384,350","416,672","360,097","353,646","352,128","351,210","360,912","369,817","370,276","368,754","350,238","374,649","369,368","374,825","379,775","373,031","366,236","361,796","357,104","344,853","326,668","336,465","327,186","308,212","295,064","287,147","289,366","242,369","222,904","194,477","169,105","135,414","120,056","137,966","137,762","132,789","130,681","126,643","117,002","105,628","99,840","90,094","85,040","77,431","69,977","65,175","61,513","55,932","48,342","41,477","34,507","29,101","22,798","16,640","12,737","10,266","7,747","5,023","3,341","2,308","1,586","3,068",,,,,,,,,,,,,,,,,,,
,男,M.,"11,719,270","102,046","112,299","110,764","102,610","122,930","104,337","88,252","101,685","104,126","107,711","108,195","108,575","114,687","119,139","128,710","133,726","159,589","147,434","138,767","167,804","167,012","167,266","166,642","167,887","165,800","165,040","173,164","159,248","174,528","157,834","152,496","170,711","184,056","189,050","199,042","204,328","200,699","206,181","200,173","189,311","206,280","176,920","174,000","173,745","172,285","178,087","182,808","183,318","182,953","174,217","185,417","182,653","185,634","187,009","184,003","180,592","178,158","174,897","168,541","158,856","163,750","159,342","148,902","142,372","138,279","138,573","116,205","106,174","92,697","80,033","63,521","55,922","64,132","63,698","60,656","59,419","56,531","51,396","46,087","42,957","38,691","36,182","33,033","30,488","29,305","28,352","26,729","23,046","19,818","16,598","13,691","10,756","7,541","5,622","4,544","3,392","2,126","1,418",990,671,"1,404",,,,,,,,,,,,,,,,,,,
,女,F.,"11,820,546","94,827","103,708","103,826","95,353","114,700","96,805","81,115","93,716","95,141","98,378","98,781","99,769","103,896","108,250","117,550","123,285","146,297","134,990","128,101","154,783","154,429","155,919","154,266","156,620","152,308","151,190","158,992","148,671","163,932","149,438","148,235","168,731","182,760","190,169","202,317","207,456","206,119","209,715","204,151","195,039","210,392","183,177","179,646","178,383","178,925","182,825","187,009","186,958","185,801","176,021","189,232","186,715","189,191","192,766","189,028","185,644","183,638","182,207","176,312","167,812","172,715","167,844","159,310","152,692","148,868","150,793","126,164","116,730","101,780","89,072","71,893","64,134","73,834","74,064","72,133","71,262","70,112","65,606","59,541","56,883","51,403","48,858","44,398","39,489","35,870","33,161","29,203","25,296","21,659","17,909","15,410","12,042","9,099","7,115","5,722","4,355","2,897","1,923","1,318",915,"1,664",,,,,,,,,,,,,,,,,,,
資料來源：本部戶政司。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Dept. of Household Registration Affairs, MOI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新日期：2017/2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
